Country Name,Country Code,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bahamas, The",BHS,,,,,,84.7649919,81.5231119,86.59924147,87.48435544,84.44714459,82.54066042,88.53503185,85.46365915,88.79093199,88.89188824,85.3188929,,87.02570379,88.00489596,,,,,,,88.1377551,,92.80031822,87.50791841,91.72141919,,,,,,91.95638706,,,,101.9627501
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,51.64314171,,,,,55.29717628,54.18419987,56.14025686,57.51054318,58.98279036,59.09963073,58.1292517,58.93068801,60.39676574,60.9463895,58.61003437,61.25873064,59.26317778,64.15098032,61.978727,65.89803464,66.53019613,67.94206728
Belarus,BLR,,,,,,80.28021474,,,,,,,,100.4366812,,80.32287542,,,,,,,94.11972453,93.58615869,94.55922865,80.23255814,,,,,,108.365019,88.9852374,88.49824672,86.9663423,87.87288719,87.03286509,87.79751972,87.41098002,87.18284455
Belize,BLZ,,,,,,,,,,,44.23003682,,44.49152542,48.43161857,50.38167939,49.68632371,,,,,,56.85071575,,,,,,,65.73983341,59.01782771,59.53709392,60.472129,61.89440056,61.41110161,,69.38111935,,,,
Bermuda,BMU,,,,,,,,82.45294475,,,,,,,,,85.43579424,,,,,,,,,91.86046512,93.10344828,,,,,,,,,,,,,
Bolivia,BOL,,28.23912257,28.27044399,28.28568067,,70.15019763,61.79062483,65.12698413,62.06516183,68.57142857,69.375,69.63343882,75.94765952,72.61239368,,74.12738221,72.49179132,79.31488801,74.01197605,76.71068427,76.71068427,75.36239103,77.30242386,77.23000532,76.01212726,76.7081844,,75.39692173,72.46575684,73.66566213,75.0070205,68.65567041,73.22138187,75.68174281,79.44726059,80.73729133,74.10242708,84.03568605,84.49632461,85.89161046
Brazil,BRA,,48.31843838,48.46271646,50.32055018,50.78509491,52.01095929,52.86860181,52.05155492,61.95186169,61.8582195,,59.8463188,59.99853071,60.71419904,61.99687378,63.64970107,,67.33064277,69.09493092,69.59190012,70.62091544,71.9646307,71.92389006,72.14739453,71.72245205,72.44677646,,70.3976417,69.14379094,69.19960944,69.45597263,70.40144435,70.83200383,72.28822383,72.85565134,73.78129469,70.73256567,71.87478557,72.98614883,72.6374829
Barbados,BRB,,,77.23250201,76.84210526,80.80042548,79.69562955,79.5505618,79.46757679,80.09459459,,81.94276501,84.2797691,83.67374728,84.12655489,,,,,,85.126498,85.38461538,,,,,85.89991706,86.21169916,86.73637865,84.87208009,86.06329817,89.36955559,90.20515331,89.23230021,88.19105365,87.38282054,89.61439198,,,,
Brunei Darussalam,BRN,,,48.40644919,,,,,56.48260764,,,,,,,,,,71.13324089,,,,,,,,,,74.50462351,,,80.48372272,,,82.00397718,78.79158647,75.54631025,74.56531733,76.61311709,73.86519177,75.21891297
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,66.74129005,77.28531856,,,89.75265018,87.72146683,86.98781838,96.28445257,81.69209431,77.20681402,78.58949143,,,79.09632714,85.15372619,87.60843481,89.32817138,72.81787363,78.47388116
Botswana,BWA,,81.24841732,,,,,,55.25652923,,,69.08344733,,76.11261884,,67.83833784,,71.78349601,71.08545035,,,,,79.47160598,,,80.12300088,79.70752299,,,82.29627701,,,,,,84.32859354,83.88194138,85.44768626,86.15634011,86.24429068
Central African Republic,CAF,,,,,79.25849403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,70.11278441,71.58925034,72.50299277,73.46840516,74.93540052,75.6992301,76.85203431,77.86335834,78.3094358,78.65073519,78.68751539,79.32433551,79.62670436,80.01052224,80.944788,81.38728483,82.10405551,82.68733135,83.42030653,84.30272155,84.71831178,84.69156491,85.15501369,85.74925061,85.6692179,86.37262904,86.81332443,86.54997633,86.88506277,87.17783685,86.83536465,86.55026753,86.92246679,87.07217341,87.39773196,87.50443181,86.74557243,87.41927631,88.4570557,88.4394059
Central Europe and the Baltics,CEB,,,,,,,,,80.33436596,,,79.39529305,78.5280281,77.2929794,77.14615355,77.54660645,77.7925503,78.06509063,77.33933539,76.98502584,76.66431298,76.11503215,76.1651584,75.70378497,75.44966589,75.72037185,75.62308874,75.74554357,75.92023228,75.76519471,75.76647766,75.60780317,75.51391975,75.64962562,75.58529527,75.2348175,74.81395472,76.14882419,77.24085426,77.50043824
Switzerland,CHE,,56.45672859,56.52959783,,57.93280096,58.76164713,62.23820338,66.09408773,66.88432239,67.71421619,67.84961898,67.69088974,72.2825811,72.46397108,74.08332272,74.45590946,74.09988684,76.00227393,77.30472416,77.44120022,77.81405084,79.01780364,79.23622621,79.10567925,81.22871417,81.82386092,80.67601011,81.05318123,81.66747208,82.41653075,83.49158394,83.91334223,84.34609861,84.07095094,84.74386778,85.51759722,85.1799365,85.7679752,85.55598541,85.86799885
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,41.63763066,40.12927552,40.21473226,,41.46503589,41.73041414,42.29591157,41.60351017,44.24579526,45.28816199,45.68594178,45.14369345,47.67490032,49.12686889,49.66726925,50.29068618,50.49556599,49.73225876,49.85180632,51.94498586,54.42093881,55.90437227,56.63642841,57.95273864,60.27526061,61.58777868,63.10061021,65.37002404,65.98416745,66.84538082,67.79199418,67.61772928,68.44370102,69.52598056,70.60460614,71.41909276,67.30575922,67.72859216,70.9758758,72.88133219
China,CHN,,,,,,,85.87557333,,,,,,,,,,84.52480239,,,,,,,,,,81.53787103,,,,,,,,,,,,,
Cote d'Ivoire,CIV,,,,,47.35121731,,,,,,,,,,59.24153166,,,,,,,,,,,,,,86.79790099,86.00600749,,,77.52626679,70.32197143,,77.20907244,,,78.9298369,
Cameroon,CMR,,61.17878676,,62.46654313,,,,,,,,,80.92105263,,,,,85.73298429,,,,91.31016043,,91.40726367,,,85.85662211,,,,86.69840778,,,,,,,77.45423287,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,96.39592124,,,,,,,89.58951214,,,,,,,,90.31219103,,,
"Congo, Rep.",COG,70.89262613,,,,,,,,,,,,,,,,,,,,,96.78679983,,,,111.0078796,,,66.87402799,,,,,,,,,,,
Colombia,COL,,46.27215468,61.04868914,62.25045372,,58.69097354,,,,40.02801834,,,67.20720721,,,,77.19345681,64.76820551,64.30976431,65.72087293,65.37594957,63.82801319,,63.75510308,64.12704054,66.93582345,67.7628802,68.13877006,69.43187718,69.32163348,69.17375273,69.67117259,69.58545215,69.49619372,68.48191165,68.26592222,67.02666614,66.64950312,67.0607687,68.05195825
Comoros,COM,,,,,,,,41.43079316,,,,,,,,,,,,,64.14625488,,,,,,,,,,57.94467928,,,,,,,74.3314498,,
Cabo Verde,CPV,,,,,,,48.28396803,,,,,,,,,,,,,,,,,,,76.45997427,,,,,,87.12755027,,78.59834213,77.952,78.38969904,,,,
Costa Rica,CRI,28.01106362,,,,,,,,,,,,,,,,39.28264341,52.16492779,51.97729423,52.20965309,50.61753468,54.83040848,55.03531556,55.89624419,56.94742489,58.38469741,58.87548071,61.69996795,66.1628373,66.93749508,66.21260822,65.82664887,62.28939274,61.76625766,63.79339877,69.1597524,66.56953169,68.15439304,68.74588184,62.90893966
Caribbean small states,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,,,56.09587143,,56.67676211,,,,,,,,,,,,,,,,56.79640719,,59.03288782,60.94497608,60.90236686,61.38900971,61.24450952,59.68714122,64.14039794,65.78645235,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.31474433,,90.98719677,,,
Cayman Islands,CYM,,,,,,84.3373494,,86.53670771,,,,,,,,92.60674157,,,,,,,91.34637514,93.30346616,92.37278445,91.61928588,,92.00474496,93.48729792,94.16919841,94.22806194,95.69841645,,,,,,,,
Cyprus,CYP,57.64080765,53.81278158,,55.49459684,57.25480593,57.58052797,58.62194677,59.34494095,57.02610071,,,61.00564392,,,,64.10327365,68.01550495,71.37268407,72.68610207,73.36519868,72.67357992,72.24489796,74.07230884,75.81457889,76.5068643,79.35530706,81.02015113,81.30131856,80.56158858,81.19528357,84.32101779,85.69606927,84.62761331,84.94153138,84.59851006,83.45422893,81.74623768,82.40100208,83.90836945,86.66932237
Czechia,CZE,,,,,,,,83.39731286,,73.4508802,73.57175838,73.32241309,72.53263927,72.83256494,73.35922056,73.83560285,73.93751074,73.90665091,73.5480983,73.96007746,73.85002046,73.72083206,73.74071859,72.83968684,72.31540672,72.5204252,72.48251132,73.27448309,73.92710996,74.79580444,74.57771261,75.35432839,75.84119324,76.28599772,76.80073339,76.73091795,76.05249251,76.34974284,76.82711285,75.5004377
Germany,DEU,57.37986835,58.10955961,58.56700014,58.48832943,59.2659311,59.77510718,63.02106492,66.9825367,67.79502578,68.06697456,68.84870317,69.52837893,70.19294256,71.01062654,71.59358131,72.67019903,73.2987278,74.46747439,75.13852524,76.08768817,76.35936728,77.15762118,78.40298014,79.74051141,78.99822668,80.4933615,79.44402592,81.92569351,81.37955952,82.18763641,82.68711638,82.9455014,83.472414,83.8523005,83.56098802,84.03523341,84.14915584,83.95943242,84.32612713,84.55692787
Djibouti,DJI,,,,,,,,,,,,,62.11734694,,,,,,,,,,,,,,,,,,,,,38.72463522,,,,,,
Dominica,DMA,,,,,,58.26739976,,52.93028994,,,,,,79.24603703,,72.1604448,,64.1788919,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,80.05643006,80.49761179,81.52236604,82.27220064,80.65800475,80.56631139,81.82411204,83.09227537,84.22814715,84.59108315,82.42322267,79.7618552,81.71205143,81.83267927,83.71926172,83.62076171,84.73271701,84.19537391,84.5392798,83.58549455,84.24364179,84.94191116,85.69158287,85.5046725,85.04443372,86.07752027,86.15560306,86.60350027,87.30275505,88.1238716,86.89403984,85.92871965,87.42671406,87.40195707,86.99483118,86.73177882,86.98822041,86.57955121,88.13931411,88.18150933
Dominican Republic,DOM,,,,,,,,52.24719101,58.04676754,30.36831969,54.1727672,,51.99757869,49.77256404,47.89595376,,51.20186459,50.14757701,53.10582822,52.6694114,52.31758054,53.93616444,54.62109317,54.07824223,56.83326561,53.84371248,57.83448142,59.84044009,61.10916158,61.11096072,61.28266674,63.20077417,63.88262733,64.42983777,64.79397385,67.21843764,64.35682296,67.50966622,66.1202683,68.66397814
Algeria,DZA,8.667056416,12.28752521,,10.18324607,,,,,,,,,15.25948877,15.57480981,,,14.16400426,,,,,,,,,20.31750655,20.5634621,,23.30383481,23.88489209,23.5203527,24.38951401,25.478665,25.93882495,,,,,,
East Asia & Pacific (excluding high income),EAP,,,,,,,,,,,,,,,,,81.25350019,,,,,,,,,,79.04629029,,,,,,,,,,,,,
Early-demographic dividend,EAR,,,,,,,,46.20015668,,,43.53454012,,,,,,45.53512714,51.60142569,,,,49.38780463,,,,,45.33060741,,44.5829001,,,,,,41.4142734,44.8287265,46.40024939,47.49104779,48.60896225,
East Asia & Pacific,EAS,,,,,,,,,,,,,,,,,79.73341736,,,,,,,,,,78.15561658,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,69.65689055,69.46496038,70.58548328,67.33522067,68.82388357,64.74981491,67.71963118,68.21623113,,67.86906091,67.94341808,,67.8893312,70.72712559,69.44286114,69.96654018,66.89141387,68.1729881,65.2552949,64.87149919,,
Europe & Central Asia,ECS,,,,,,,,,70.40011941,69.64845823,70.11450647,72.04558553,71.17797367,71.71799579,72.85132674,73.4969886,73.43895792,74.38449464,75.46264793,75.81519932,76.37762898,76.33454206,76.89409322,76.61258728,76.81571334,77.38313021,77.12122069,77.95992224,78.20081827,78.26080296,78.5815384,79.04046978,78.93161341,78.16391427,77.94605577,78.17814012,77.45900991,78.47914948,79.1918218,79.43861958
Ecuador,ECU,,,,,41.81238034,41.76132738,34.34984142,,,,,,60.70980687,60.44582043,63.52454025,,56.36102836,64.90541422,66.01290963,60.07839019,63.89251365,63.03501474,63.09589237,63.44037591,63.9163391,63.12805326,61.81056462,61.27286615,62.33883562,62.76338694,61.25515955,65.13955174,69.11293328,69.90489889,68.91027662,69.59501717,66.93247535,68.59611956,69.62811797,68.46224499
"Egypt, Arab Rep.",EGY,23.68006304,,12.65269384,,,41.79333426,36.53504577,31.10703191,32.2124894,30.39000275,31.03727715,29.43982554,18.69520371,,27.34265734,27.64282806,29.86897624,29.39203966,26.81328284,,,30.71704137,29.39621592,32.30125523,30.03041194,31.55020926,30.79008521,30.12291496,30.3145182,31.24710246,31.79480817,32.14442727,32.9396382,32.82634731,27.06602407,23.19006374,21.33617816,22.20019391,21.67743241,
Euro area,EMU,,,,,,,,63.57583695,63.88556084,64.89174573,65.7923244,66.60658134,67.27083421,67.89589384,68.782299,69.569985,70.39234583,70.71243292,71.51162785,72.57983184,73.29212998,74.13316976,75.00010129,75.80858271,76.21915563,77.4465173,77.73528787,78.7570375,79.25631451,79.78390364,80.27283975,80.44857525,80.891504,81.12037835,81.21543215,81.727096,81.77713843,82.57632963,82.92503485,83.23580376
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,39.9510157,40.47445787,40.54339224,45.10320793,47.84994874,48.64076785,49.39680618,49.93949049,52.30327311,53.52086921,55.83996558,57.32577339,58.08083166,59.1242236,59.4540221,60.24764369,62.07091117,60.55281766,63.79537504,65.31211164,66.98764697,68.26664709,70.06373151,71.50010219,73.28782078,75.85912046,77.48244064,79.03054429,80.65849831,81.34550053,81.59725956,81.93962392,82.48522551,82.41675668,82.29773209,83.06166845,83.11140451,84.57247589,84.71371038,84.62770851
Estonia,EST,,,,,,83.56199845,81.38990938,80.3461109,78.29595047,78.30077511,78.12126388,78.45937656,79.630776,80.36902601,75.95801207,76.76064716,79.20251489,80.15353733,79.39265164,78.46209095,80.78846096,82.60447635,80.96814722,79.11343314,79.63081488,80.53261494,82.29354921,81.86910941,81.079183,81.02021118,79.25377468,81.0498953,80.52715292,81.08287449,81.25457514,82.29141467,81.99675694,83.38411799,84.94494102,86.66219558
Ethiopia,ETH,,,,67.6300578,,,,,,,74.28826616,,,,,68.32467956,,,,,,83.18633285,,,,,,,,84.05815137,,,,,,,,72.73232323,,
European Union,EUU,,,,,,,,65.79184721,68.42440063,68.22598238,68.90597315,70.17794772,70.33048921,70.58072796,70.98174554,71.74398477,72.50979717,72.8368462,73.23338839,73.91930539,74.40314684,74.92737415,75.60484464,76.16391872,76.37462288,77.35992441,77.59587762,78.50404136,78.93090348,79.31426926,79.6499985,79.74611982,80.08382471,80.28411371,80.36458686,80.67955747,80.59406203,81.38768615,81.90064313,82.21805105
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,81.81693427,82.23357261,81.67104717,81.42061281,81.88965324,81.96744317,86.50786229,86.80594484,86.9142018,86.76918284,86.66704889,84.77962782,84.64591343,83.27994778,83.7183167,85.22020877,85.10377441,85.54181648,86.25659258,86.08034264,86.6272012,87.30611571,87.66384889,87.87869505,87.14522179,88.63505501,87.43640166,86.80207783,87.91018998,88.21137566,88.72025333,88.99983997,88.18824435,88.08972988,88.49735517,88.45251308,87.87589651,88.18852306,90.6369784,91.72349999
Fiji,FJI,,,27.29398013,,,,,,,,,,49.7347145,,,,,,,,,44.64736566,,,,,,56.93244157,,,54.39936776,,50.06883653,,,,,,,
France,FRA,67.0260207,67.39805093,68.54830492,69.01483129,69.70448131,70.2544384,70.82884659,72.36338376,73.17574989,74.52384295,75.26004487,76.05407196,76.34030254,76.22702293,77.13102003,77.36359323,77.98258438,77.91721147,77.95643401,79.80430715,79.66222872,81.13228826,81.51441181,82.29343967,82.62900139,83.13799132,83.41533915,83.71303056,83.79706466,83.99649203,84.66596701,84.78667849,85.12013721,84.98244335,85.41227269,85.90078767,86.08154521,87.26428488,87.27731986,87.83424238
Faroe Islands,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0836011,,,,,,,,,
Gabon,GAB,,,,,,,,,,76.51770658,,,,,,,,,,,,78.69021339,,,,,68.62104539,,,,,,,,,,,,,
United Kingdom,GBR,64.19129559,65.48246558,66.5389925,67.67378557,68.29077469,69.93381573,70.51957831,70.83423677,71.72784905,72.96748533,73.38038996,73.66639988,74.5345904,75.19927766,75.50656302,76.65141733,77.1819632,77.74136047,78.68262266,78.28258187,79.26924298,79.63352445,80.00401526,79.81294178,80.08690913,81.0145997,81.34476035,81.81221082,82.02284848,82.8401761,83.24847846,83.50283147,84.12540287,84.71934236,84.92551552,86.38762807,87.2659622,88.19227224,87.53010235,87.3148009
Georgia,GEO,,,,,,,,,,,,,,,75.0330251,77.28057363,73.64195879,76.73254282,73.94747261,75.61777077,76.71343767,75.97552685,74.23822715,75.03410641,72.69922189,71.51755453,72.50630083,71.86306444,71.89730745,70.81498764,71.83964923,73.52405657,71.74989145,78.0334111,75.50368851,75.10192837,75.30049558,,,
Ghana,GHA,101.9808591,,,,,92.19219219,,97.24420954,104.4295302,,,,,,96.68304668,96.68304668,94.72984076,,,,,,95.1766208,,,,95.82488238,,,93.35216191,,88.47073121,,94.60971857,,,,83.4996493,94.99103352,
Gibraltar,GIB,,44.02818354,,48.67256637,,54.93868081,56.70846934,55.82061069,51.7194774,56.49008674,61.71155813,,,,,,,73.0017762,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,,,87.86079836,,,,,,94.60469039,,,,,,,,,,,,,,,,,65.76315386,,,,
"Gambia, The",GMB,,,,,,,,,,63.82281726,,,,,,,,,,,,,,,,,,,73.27659452,,,,,,85.02776559,,,,,90.62549928
Guinea-Bissau,GNB,,,,,3.209178583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.75271425,83.71570202,,,85.57772117,
Equatorial Guinea,GNQ,,,,,,,,,,,105.1502146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,47.59882849,49.50589645,50.12824414,50.75926091,52.39630378,53.54688322,53.78735869,51.12783121,53.91338094,54.62896646,54.70146254,56.2111316,57.74505536,58.14640656,61.17916129,61.83831054,62.0543016,61.42852646,62.16821487,62.94764324,64.8573811,65.16080355,65.56254017,65.56818003,65.55942411,67.47792138,68.87421414,70.06765287,71.44309776,71.44057603,73.09703175,74.55346631,74.78334034,74.23932026,73.37355455,73.42687787,74.43936948,74.35222983,74.00891274,74.77073398
Grenada,GRD,,,,,79.76724621,,,,,,,,,,72.67904509,,,,,,,,,,,,,,,85.77348066,94.46749654,84.82490272,,,82.64370052,82.13191605,75.45149743,,,
Greenland,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,93.36371779,94.25038884,93.84924017,94.4584847,94.51272698,93.68153467,,,,,,,,
Guatemala,GTM,,16.50246305,,30.45404208,,31.59884367,,,,,21.86755598,,,,,31.59325721,51.87713311,,52.79642058,54.31468657,49.46396942,,53.68504472,,,,51.95817608,47.99685313,52.28999747,48.66991744,48.58792249,45.97891548,47.8208478,45.98231044,46.04243695,45.22742215,,50.49259644,50.16065518,59.94155733
Guam,GUM,,,66.37776861,,65.49473965,,71.02781425,,,,,,,,,,79.89417989,79.78142077,77.6203966,,74.68175389,81.62962963,78.97727273,72.18934911,,76.4957265,85.32526475,81.52958153,,,,,,,,,,,,
Guyana,GUY,,,,40.98645363,,,,,,48.39862035,,,,,,,,,43.4538971,,,,,,,,,,,,,,,,64.44962299,64.17280675,,,,
High income,HIC,,,,,,,,68.93842137,71.14988852,71.59484652,72.21322183,72.53581926,72.96653127,73.38001107,73.6172654,73.92612878,74.21341339,74.61648198,75.04008959,76.08804066,76.5150452,76.72070701,76.53859242,76.68997323,76.61385246,77.27991177,78.42997911,77.96677075,78.14213966,78.23473687,78.69602533,78.63006849,78.57802755,78.36992158,78.65483512,79.19253552,79.34767216,79.73944531,80.32646886,80.97189249
"Hong Kong SAR, China",HKG,60.61898379,60.31607765,60.7258265,60.57584445,60.25993502,59.31242917,59.00912316,60.6368134,59.26685465,59.50339178,60.76308327,62.10993602,62.90301355,63.3469819,64.27436441,66.48648649,67.05368119,69.45853324,71.6452903,71.69444444,72.30747768,73.0585256,74.19309373,75.31933012,76.24444126,76.67050691,75.77031426,77.40388832,77.92202122,78.73957716,79.25057391,79.52897761,79.87551565,80.69046226,80.50120201,81.51530401,81.92167921,82.4109139,81.76507858,82.15543813
Honduras,HND,,,,,,,,38.85834601,39.95968194,,,40.12731481,,,48.32552292,52.02180827,50.82136703,50.15914181,44.35294118,,57.69575613,50.49908551,47.31809729,47.21978558,49.46811124,50.69939843,52.54520774,49.72772977,48.77795956,52.9927217,55.90055459,57.02851246,56.87493939,55.16265245,60.3013881,54.41813698,65.37647332,65.571342,59.18159042,53.46641024
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,,,,,,,,67.25973458,,,,,,,81.43851508,,75.30688764,73.34047294,74.15813703,72.94069544,73.15119008,74.08952629,75.91436376,73.36106868,74.68116723,77.62578329,77.3246849,74.6273401,75.66598709,77.27784807,78.88307452,79.26480783,78.64549971,78.29507971,79.27874564,78.48978599,77.10346494,78.54214904,80.44232288,82.17782252
